TaxYear,TaxDistrict,TIFProjectNum,TIFProjectName,TIFStatus,TIFStartYear,TIFEndYear,TIFPercentage,ParcelNumber,Library,JNVS,ParkDist,CityVillage,Township,School,TaxableLUC,TIFLUC,AppraisedLand,AppraisedImpr,AppraisedTotal,AssessedLand,AssessedImpr,AssessedTotal,Homesite,TaxRateType,FullRate,ReductionFactor,NonBusinessRate,OwnOccRate,EffectiveRate,EffRateCountyGen,EffRateChildren,EffRateADMH,EffRateFCBDD,EffRateParks,EffRateZoo,EffRateSenior,EffRateLibrary,EffRateJNVS,EffRateParkDist,EffRateCityVillage,EffRateTownship,EffRateSchools,EffRateCSCC,DivertedCountyGen,DivertedChildren,DivertedADMH,DivertedFCBDD,DivertedParks,DivertedZoo,DivertedSenior,DivertedLibrary,DivertedJNVS,DivertedParkDist,DivertedCityVillage,DivertedTownship,DivertedSchools,DivertedCSCC,DivertedTotal,TIFTotal,SourceFile,TIFJvs,TIFCityVillage,TIFTownship,TIFSchools
2018,027,90-147,GAHANNA MANOR HOMES,Active,2006,2035,100,027000126,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,46400,395200,441600,16240,138320,154560,Yes,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,198.8,584.99,264.92,842.92,90.31,84,218.64,338.85,270.48,0,220.44,1409.7,0,0,4524.05,10605.88,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,027,90-147,GAHANNA MANOR HOMES,Active,2006,2035,100,027000127,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,46400,399200,445600,16240,139720,155960,Yes,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,200.6,590.29,267.32,850.56,91.13,84.76,220.62,341.92,272.93,0,222.44,1422.46,0,0,4565.03,10701.94,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,027,90-147,GAHANNA MANOR HOMES,Active,2006,2035,100,027000128,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,46400,409900,456300,16240,143470,159710,Yes,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,205.43,604.47,273.75,871,93.32,86.8,225.93,350.14,279.5,0,227.79,1456.66,0,0,4674.79,10959.26,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,027,90-147,GAHANNA MANOR HOMES,Below Ceiling,2006,2035,100,027000138,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,,,,,,,,,,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,170,90-254,JEFFERSON TWP - PARKWOOD TIF  (2018-2047),Below Ceiling,2018,2047,100,170004002,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,,JEFFERSON TWP,GAHANNA JEFFERSON CSD,,,,,,,,,,Res/Ag,116.86,0.337415,0.083231,0.020807,77.429774,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,0,12.178032,43.910798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,170,90-254,JEFFERSON TWP - PARKWOOD TIF  (2018-2047),Below Ceiling,2018,2047,100,170004003,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,,JEFFERSON TWP,GAHANNA JEFFERSON CSD,,,,,,,,,,Res/Ag,116.86,0.337415,0.083231,0.020807,77.429774,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,0,12.178032,43.910798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,170,90-254,JEFFERSON TWP - PARKWOOD TIF  (2018-2047),Below Ceiling,2018,2047,100,170004004,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,,JEFFERSON TWP,GAHANNA JEFFERSON CSD,,,,,,,,,,Res/Ag,116.86,0.337415,0.083231,0.020807,77.429774,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,0,12.178032,43.910798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TifDetails-TY2018-2025-05-22.xlsx,,,,
2019,170,90-281,JEFFERSON TWP - BARTON HALL II TIF,Active,2018,2047,100,170000138,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,,JEFFERSON TWP,GAHANNA JEFFERSON CSD,403 - APARTMENTS 40+ FAMILY,720,61800,5515000,5576800,21630,1930250,1951880,No,Com/Ind,117.46,0.241605,0.083637,0.020909,89.08109,1.47,4.650984,2.046433,6.511378,0.95,0.697647,1.627844,2.607897,2,0,0,13.808519,52.710388,0,2869.26,9078.16,3994.39,12709.44,1854.29,1361.72,3177.35,5090.3,3903.76,0,0,26952.58,0,0,70991.25,173875.6,TifDetails-TY2019-2025-05-22.xlsx,,,,
2022,170,90-336,JEFFERSON TOWNSHIP - COURTYARDS AT MORSE TIF,Below Ceiling,2022,2051,100,170000469,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,,JEFFERSON TWP,GAHANNA JEFFERSON CSD,,,,,,,,,,Res/Ag,129.15,0.393236,0.067168,0.016792,78.363575,1.47,3.584931,2.270221,5.165636,0.787346,0.514765,1.292321,2.06489,2,0,0,12.187597,46.555868,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TifDetails-TY2022-2025-05-22.xlsx,,,,
2022,170,90-336,JEFFERSON TOWNSHIP - COURTYARDS AT MORSE TIF,Below Ceiling,2022,2051,100,170000565,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,,JEFFERSON TWP,GAHANNA JEFFERSON CSD,,,,,,,,,,Res/Ag,129.15,0.393236,0.067168,0.016792,78.363575,1.47,3.584931,2.270221,5.165636,0.787346,0.514765,1.292321,2.06489,2,0,0,12.187597,46.555868,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TifDetails-TY2022-2025-05-22.xlsx,,,,
2023,170,90-352,JEFFERSON TWP - ADAMS POINTE TIF,Active,2020,2049,100,170000814,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,,JEFFERSON TWP,GAHANNA JEFFERSON CSD,403 - APARTMENTS 40+ FAMILY,720,950900,12107200,13058100,332820,4237520,4570340,No,Com/Ind,129.2,0.375834,0.07052,0.01763,80.642305,1.47,3.5743,2.1285,5.00402,0.730076,0.536145,1.251005,3.295282,2,0,0,12.558773,47.774204,0.32,0,16335.77,0,0,0,2450.36,0,0,5484.41,0,0,35163.4,0,0,59433.94,237427.27,TifDetails-TY2023-2025-05-22.xlsx,,,,
2023,170,90-370,RESERVE AT JEFFERSON PARK,Below Ceiling,2022,2051,100,170000008,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,,JEFFERSON TWP,GAHANNA JEFFERSON CSD,,,,,,,,,,Res/Ag,129.2,0.525182,0.066772,0.016693,61.346586,1.47,2.541463,1.609426,3.66207,0.558173,0.364932,0.916164,2.47888,2,0,0,9.63028,35.795198,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TifDetails-TY2023-2025-05-22.xlsx,,,,
2024,170,90-370,RESERVE AT JEFFERSON PARK,Below Ceiling,2022,2051,100,170005039,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,,JEFFERSON TWP,GAHANNA JEFFERSON CSD,,,,,,,,,,Res/Ag,129.8,0.521402,0.066113,0.016528,62.122058,1.47,3.147408,1.613192,3.670638,0.559478,0.365786,0.918308,2.485048,2,0,0,9.677583,35.894617,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TifDetails-TY2024-2025-05-22.xlsx,0,0,0,0
